Variables=Time[s], probe_u1, probe_v1, probe_w1, probe_u2, probe_v2, probe_w2, probe_u3, probe_v3, probe_w3, probe_u4, probe_v4, probe_w4, probe_u5, probe_v5, probe_w5
0.0006500000000000001, 260.5711976, -19.50288238, -0.1737278949, 278.1588991, -22.5316278, -0.5368927482, 282.1694601, -23.27008619, 0.1943867079, 286.1705412, -23.86421284, 0.387584675, 295.6363274, -21.52818281, -0.2523408642
0.0006600000000000001, 258.0661928, -23.40023769, -0.1246877464, 277.5362401, -27.24377217, -0.4446608126, 282.3100274, -27.53746087, 0.2440314183, 286.4792468, -26.8064088, 0.4092211165, 295.0689454, -22.99044667, -0.2099453819
0.00067, 254.7891067, -27.66570532, -0.007026887976, 276.7186891, -32.46613244, -0.3369109752, 282.7510351, -32.15998515, 0.277038737, 287.2285884, -30.02165688, 0.4642820936, 294.8562211, -24.79895104, -0.1468219423
0.00068, 250.7054288, -32.22069956, 0.1651014993, 275.8847689, -37.84449587, -0.2646228707, 283.507302, -36.78157746, 0.2930117473, 288.3491385, -33.32850349, 0.5503319194, 294.9875653, -26.85760851, -0.0833239426
0.0006900000000000001, 245.9466093, -36.90209928, 0.3510639183, 275.2430408, -42.89015362, -0.2625449889, 284.5269426, -40.99554736, 0.2952490433, 289.7063921, -36.51356597, 0.6465211716, 295.4347186, -29.05176175, -0.04234870059
0.0007000000000000001, 240.8946593, -41.43006068, 0.5039998161, 274.9950145, -47.08747764, -0.3349833832, 285.6579202, -44.41668591, 0.2888049621, 291.1378751, -39.39436881, 0.7257640116, 296.1366688, -31.284092, -0.04753203892
0.00071, 236.1291354, -45.51332782, 0.5907913749, 275.2523024, -50.0624116, -0.4616920506, 286.6982079, -46.79760314, 0.2748697607, 292.470161, -41.80005676, 0.7642194625, 297.0237829, -33.45606587, -0.1021586239
0.00072, 232.3005729, -48.9177741, 0.6026335504, 276.0176519, -51.7257006, -0.6062946357, 287.4709652, -48.12092278, 0.2573953452, 293.5681003, -43.61748194, 0.755431681, 298.0137504, -35.4700664, -0.1869911686
0.0007300000000000001, 229.9328236, -51.5103174, 0.5567189689, 277.1627709, -52.3300049, -0.737075887, 287.9022149, -48.63403784, 0.2360878784, 294.3811836, -44.84943572, 0.7143124994, 299.011714, -37.24536373, -0.2730612895
0.0007400000000000001, 229.2298881, -53.25325342, 0.4758069812, 278.4321479, -52.36810819, -0.833203372, 288.0489079, -48.75948878, 0.2212054243, 294.9647535, -45.61739933, 0.6735875718, 299.9394411, -38.71939703, -0.3276316749
0.00075, 229.9701379, -54.22374192, 0.37086083, 279.5287, -52.39141372, -0.8859601322, 288.0846993, -48.94327877, 0.2272872101, 295.4410394, -46.10314977, 0.6632775568, 300.7572341, -39.86523493, -0.3329943349
0.00076, 231.5190121, -54.55574644, 0.2386208014, 280.1855897, -52.82361671, -0.8919367828, 288.20927, -49.49999774, 0.2633271585, 295.9488641, -46.49666524, 0.6937015566, 301.4608686, -40.69726872, -0.2950164671
0.0007700000000000001, 232.927918, -54.43871842, 0.07369255614, 280.2194903, -53.82311519, -0.8468685355, 288.5480506, -50.54224262, 0.325201739, 296.5755425, -46.97369373, 0.7554242684, 302.0603497, -41.27852583, -0.2382031126
0.0007800000000000001, 233.1672662, -54.10792641, -0.1094703895, 279.5449059, -55.3276568, -0.7529458458, 289.0749021, -52.02752205, 0.3966978616, 297.3060092, -47.68420167, 0.8282065659, 302.5494756, -41.73185139, -0.1921345547
0.00079, 231.3965342, -53.82629243, -0.2680436007, 278.1760919, -57.20551757, -0.6262804953, 289.6108772, -53.880906, 0.4603384841, 298.0299197, -48.75871444, 0.8937792709, 302.8811493, -42.23574549, -0.176803607
0.0008, 227.1933225, -53.88236111, -0.3338861616, 276.1891032, -59.38380821, -0.4924861033, 289.9185254, -56.08095251, 0.50373501, 298.5926995, -50.30643871, 0.9428646298, 302.979281, -42.99916165, -0.1943391078
0.0008100000000000001, 220.6385217, -54.48457522, -0.258030694, 273.6871397, -61.88819138, -0.382714654, 289.8718056, -58.68210913, 0.52965824, 298.9151254, -52.36413994, 0.9789969153, 302.7779781, -44.18133131, -0.2335845169
0.0008200000000000001, 212.2599902, -55.76053841, -0.02762994987, 270.8349539, -64.82657039, -0.3259750141, 289.5387286, -61.73927445, 0.5457632662, 299.0469082, -54.88049601, 1.01167019, 302.2867448, -45.83914595, -0.2841040298
0.0008300000000000001, 202.8600218, -57.75255226, 0.3148394909, 267.8842507, -68.2851206, -0.330895764, 289.1863086, -65.2227989, 0.5633474449, 299.1908169, -57.70343428, 1.050838241, 301.6223865, -47.87310006, -0.3454574571
0.00084, 193.2838438, -60.39408183, 0.6857631197, 265.1607852, -72.23171588, -0.3852872923, 289.1847983, -68.99255995, 0.5868066469, 299.6427727, -60.61744559, 1.078249821, 301.0021832, -50.0501906, -0.432430895
0.0008500000000000001, 184.2322391, -63.51278593, 0.9920527052, 263.0167459, -76.48659203, -0.4678070635, 289.856753, -72.82445397, 0.611702296, 300.6388043, -63.40286911, 1.0664857, 300.6767526, -52.09122538, -0.5664601494
0.0008600000000000001, 176.1254563, -66.82836718, 1.163910254, 261.7445378, -80.74729628, -0.5535084889, 291.3517934, -76.45473335, 0.6287212453, 302.3103265, -65.90117677, 1.000835891, 300.8597924, -53.80105731, -0.7399153366
0.0008700000000000001, 169.0766233, -69.98570922, 1.180307062, 261.4863908, -84.64330479, -0.6287040939, 293.6235195, -79.63925789, 0.6416215718, 304.6486569, -68.02862937, 0.8996495424, 301.6619123, -55.11868387, -0.9124489881
0.00088, 162.9584441, -72.60977496, 1.070712363, 262.2112112, -87.82241312, -0.6953128894, 296.5080802, -82.16438655, 0.6530627462, 307.537966, -69.72453621, 0.8012971686, 303.0572821, -56.09925623, -1.016538045
0.0008900000000000001, 157.5293547, -74.40477149, 0.8895946472, 263.7519727, -90.02182807, -0.7619653137, 299.8420398, -83.85262463, 0.6664841395, 310.799373, -70.8928775, 0.7608590728, 304.9389647, -56.86489969, -1.006965599
0.0009000000000000001, 152.5259228, -75.22096747, 0.6850248006, 265.8905871, -91.10377197, -0.8387058113, 303.5438382, -84.56022494, 0.6919247978, 314.2509779, -71.36929268, 0.8005282179, 307.1276836, -57.44378302, -0.8974966701
